  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 09:57:57	  -3.000	   0.000	 1009.22	   16.35	    -0.7	     3.1	    48.7	    58.9	   -17.4	     0.2
       0	 09:58:21	  -2.000	   0.000	 1009.22	   16.34	     2.1	     4.5	    49.5	    58.5	   -17.5	     0.7
       0	 09:58:49	  -1.005	   0.000	 1009.22	   16.30	     1.5	     4.5	    49.3	    58.7	   -19.5	     0.7
       0	 09:59:11	   0.000	   0.000	 1009.22	   16.27	     1.9	     4.3	    49.6	    58.8	   -20.0	     0.1
       0	 09:59:31	   1.000	   0.000	 1009.22	   16.26	     0.7	     5.1	    50.0	    58.1	   -20.3	    -0.3
       0	 09:59:45	   2.000	   0.000	 1009.22	   16.25	    -0.8	     7.1	    50.0	    57.9	   -20.5	    -1.2
       0	 09:59:58	   3.000	   0.000	 1009.22	   16.24	   -11.8	     9.5	    49.5	    58.0	   -19.5	    -3.8
       0	 10:00:14	   4.000	   0.000	 1009.23	   16.24	   -17.9	     9.1	    49.3	    57.7	   -18.9	    -5.1
       0	 10:00:32	   5.000	   0.000	 1009.24	   16.22	   -13.7	     5.7	    50.8	    57.0	   -20.5	    -4.5
       0	 10:00:47	   6.000	   0.000	 1009.24	   16.22	    -7.1	     2.0	    52.2	    56.5	   -22.0	    -3.7
       0	 10:01:02	   6.995	   0.000	 1009.26	   16.20	    -7.8	     1.3	    52.4	    56.0	   -22.6	    -3.8
       0	 10:01:16	   8.005	   0.000	 1009.27	   16.19	   -11.3	    -0.9	    53.4	    55.6	   -23.7	    -3.9
       0	 10:01:30	   9.000	   0.000	 1009.27	   16.17	   -14.0	    -1.1	    53.1	    55.1	   -23.8	    -4.3
       0	 10:01:46	  10.000	   0.000	 1009.26	   16.16	   -15.9	    -1.1	    53.0	    55.0	   -24.0	    -4.5
       0	 10:02:06	  11.000	   0.000	 1009.25	   16.16	   -16.2	    -3.0	    54.1	    54.4	   -24.5	    -4.6
       0	 10:02:23	  12.000	   0.000	 1009.27	   16.14	   -16.2	    -3.8	    54.6	    54.1	   -25.4	    -4.4
       0	 10:02:43	  13.005	   0.000	 1009.28	   16.11	   -17.5	    -4.8	    55.0	    54.0	   -25.3	    -5.7
       0	 10:03:01	  14.000	   0.000	 1009.28	   16.10	   -19.8	    -4.2	    55.0	    53.7	   -24.9	    -6.3
       0	 10:03:18	  15.000	   0.000	 1009.28	   16.08	   -23.3	    -4.4	    54.9	    52.9	   -24.6	    -8.5
       0	 10:03:37	  16.000	   0.000	 1009.29	   16.08	   -25.9	    -3.7	    54.9	    52.3	   -24.1	    -9.4
       0	 10:03:50	  17.005	   0.000	 1009.29	   16.06	   -27.9	    -2.6	    54.5	    53.5	   -24.1	   -10.5
       0	 10:04:30	  18.000	   0.000	 1009.31	   16.02	   -29.8	    -2.6	    54.5	    52.0	   -23.5	   -12.2
       0	 10:04:53	  19.000	   0.000	 1009.31	   16.02	   -34.1	    -0.7	    54.4	    52.0	   -23.1	   -14.3
