XFLR5 v6.02 Beta

Wing name :        Wing Name
Wing polar name :  finalRe900000-55m/s
Freestream speed :  55.000 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
    0.000   0.000057   0.000000   0.006396   0.006396   0.000000  -0.000037  -0.000009  -0.000000  -0.000000   55.0000     0.1302
    1.000   0.080180   0.000388   0.006409   0.006797   0.000000  -0.020445  -0.000000  -0.000000  -0.000000   55.0000     0.0793
    2.000   0.159360   0.001554   0.006450   0.008005   0.000000  -0.040500  -0.000000  -0.000000  -0.000000   55.0000     0.0605
    3.000   0.238217   0.003490   0.006521   0.010011   0.000000  -0.060334  -0.000000  -0.000000  -0.000000   55.0000     0.0596
    4.000   0.316647   0.006181   0.006623   0.012805   0.000000  -0.079895  -0.000000  -0.000000  -0.000000   55.0000     0.0593
    5.000   0.394292   0.009613   0.006778   0.016390   0.000000  -0.099055  -0.000000   0.000000   0.000000   55.0000     0.0589
    6.000   0.464263   0.013386   0.007776   0.021162   0.000000  -0.114778  -0.000000   0.000000   0.000000   55.0000     0.0579
    7.000   0.531702   0.017618   0.009064   0.026683   0.000000  -0.129382  -0.000000   0.000000   0.000000   55.0000     0.0568
    8.000   0.599728   0.022450   0.010245   0.032695   0.000000  -0.144103  -0.000000   0.000000   0.000000   55.0000     0.0560
    9.000   0.668622   0.027909   0.011305   0.039214   0.000000  -0.158989  -0.000000   0.000000   0.000000   55.0000     0.0553
   10.000   0.738802   0.034070   0.012455   0.046525   0.000000  -0.174536  -0.000000   0.000000   0.000000   55.0000     0.0548
   11.000   0.814117   0.041291   0.013805   0.055096   0.000000  -0.193099  -0.000000   0.000000   0.000000   55.0000     0.0550
   12.000   0.874829   0.047945   0.015389   0.063335   0.000000  -0.204852  -0.000000   0.000000  -0.000000   55.0000     0.0541
   13.000   0.926374   0.054119   0.017442   0.071560   0.000000  -0.212859  -0.000000   0.000000   0.000000   55.0000     0.0529
   14.000   0.973861   0.060174   0.020110   0.080284   0.000000  -0.220086  -0.000000   0.000000   0.000000   55.0000     0.0518
   15.000   1.017789   0.066164   0.023490   0.089654   0.000000  -0.227112  -0.000000   0.000000   0.000000   55.0000     0.0510
   16.000   1.051878   0.071319   0.028135   0.099454   0.000000  -0.231860  -0.000000   0.000000   0.000000   55.0000     0.0501
   17.000   1.075042   0.075576   0.034582   0.110158   0.000000  -0.235175  -0.000000   0.000000   0.000000   55.0000     0.0494


